d000.s000.t000 document%1:10:00::
d000.s016.t003 return%1:21:00::
d000.s016.t004 corticosteroid%1:27:00::
d000.s016.t005 vitamin_bc%1:27:00::
d000.s016.t006 type%1:09:00::
d000.s016.t007 vitamin%1:27:00::
d000.s016.t008 injection%1:04:00::
d000.s016.t009 vitamin_b12%1:27:00::
d000.s016.t010 treatment%1:04:00::
d000.s017.t000 give%1:07:00::
d000.s017.t001 medicine%1:09:00::
d000.s017.t002 prevent%2:41:01::
d000.s017.t003 vomit%1:27:00::
d000.s017.t004 fluid%1:27:02::
d000.s017.t005 prevent%2:41:01::
d000.s017.t006 dehydration%1:26:00::
d000.s017.t007 besides%4:02:03::
d000.s017.t008 give%1:07:00::
d000.s017.t009 earlier%4:02:00::
d000.s017.t010 after%5:00:00:aft:00
d000.s017.t011 dose%1:06:00::
d000.s018.t000 treatment%1:04:00::
d000.s018.t001 delay%1:28:00::
d000.s018.t002 discontinue%2:42:00::
d000.s018.t003 dose%1:06:00::
d000.s018.t004 reduce%2:30:00::
d000.s018.t005 patient%1:18:00::
d000.s018.t006 blood_count%1:23:00::
d000.s018.t007 abnormal%3:00:00::
d000.s018.t008 rich_person%1:18:00::
d000.s018.t009 certain%5:00:00:definite:00
d000.s018.t010 other%3:00:00::
d000.s018.t011 side_effect%1:26:00::
d000.s019.t000 not%4:02:00::
d000.s019.t001 recommend%2:32:01::
d000.s019.t002 use%1:04:00::
d000.s019.t003 patient%1:18:00::
d000.s019.t004 centrist%1:18:00::
d000.s019.t005 severe%5:00:00:intense:00
d000.s019.t006 kidney%1:08:00::
d000.s019.t007 problem%1:26:00::
d000.s020.t000 more%1:18:00::
d000.s020.t001 information%1:10:00::
d000.s020.t002 see%1:15:00::
d000.s020.t003 summary%1:10:00::
d000.s020.t004 merchandise%1:06:00::
d000.s020.t005 besides%4:02:03::
d000.s020.t006 part%1:24:00::
d000.s022.t000 active_agent%1:27:00::
d000.s022.t001 substance%1:03:00::
d000.s022.t002 cytotoxic%3:01:00::
d000.s022.t003 medicine%1:09:00::
d000.s022.t004 medicine%1:09:00::
d000.s022.t005 killing%1:04:00::
d000.s022.t006 cell%1:06:03::
d000.s022.t007 divide%1:26:00::
d000.s022.t008 cancer_cell%1:08:00::
d000.s022.t009 belong_to%2:42:00::
d000.s022.t010 group%1:03:00::
d000.s022.t011 antimetabolite%1:06:00::
d000.s023.t000 body%1:08:00::
d000.s023.t001 convert%1:18:00::
d000.s023.t002 active_agent%1:27:00::
d000.s023.t003 form%1:10:00::
d000.s023.t004 block%1:06:00::
d000.s023.t005 activity%1:04:00::
d000.s023.t006 enzyme%1:27:00::
d000.s023.t007 involve%2:42:01::
d000.s023.t008 produce%1:13:00::
d000.s023.t009 nucleotide%1:27:00::
d000.s023.t010 unit%1:17:00::
d000.s023.t011 deoxyribonucleic_acid%1:27:00::
d000.s023.t012 ribonucleic_acid%1:27:00::
d000.s023.t013 familial%5:00:00:inheritable:00
d000.s023.t014 material%1:27:00::
d000.s023.t015 cell%1:06:03::
d000.s024.t000 survey%1:04:02::
d000.s025.t000 treatment%1:04:00::
d000.s025.t001 malignant%3:00:02::
d000.s025.t002 pleural%3:01:00::
d000.s025.t003 mesothelioma%1:26:00::
d000.s025.t004 survey%1:04:02::
d000.s025.t005 main%1:17:00::
d000.s025.t006 survey%1:04:02::
d000.s025.t007 patient%1:18:00::
d000.s025.t008 not%4:02:00::
d000.s025.t009 receive%2:40:00::
d000.s025.t010 chemotherapy%1:04:00::
d000.s025.t011 disease%1:26:00::
d000.s025.t012 earlier%4:02:00::
d000.s026.t000 consequence%1:19:00::
d000.s026.t001 combination%1:14:00::
d000.s026.t002 comparison%1:07:00::
d000.s026.t003 alone%5:00:00:unsocial:00
d000.s027.t000 treatment%1:04:00::
d000.s027.t001 cell%1:06:03::
d000.s027.t002 lung_cancer%1:26:00::
d000.s027.t003 consequence%1:19:00::
d000.s027.t004 comparison%1:07:00::
d000.s027.t005 anticancer%3:01:00::
d000.s027.t006 medicine%1:09:00::
d000.s027.t007 survey%1:04:02::
d000.s027.t008 involve%2:42:01::
d000.s027.t009 patient%1:18:00::
d000.s027.t010 locally%4:02:00::
d000.s027.t011 advance%2:38:00::
d000.s027.t012 metastatic%3:01:00::
d000.s027.t013 disease%1:26:00::
d000.s027.t014 receive%2:40:00::
d000.s027.t015 chemotherapy%1:04:00::
d000.s027.t016 past%1:28:00::
d000.s028.t000 besides%4:02:03::
d000.s028.t001 comparison%1:07:00::
d000.s028.t002 anticancer%3:01:00::
d000.s028.t003 medicine%1:09:00::
d000.s028.t004 combination%1:14:00::
d000.s028.t005 survey%1:04:02::
d000.s028.t006 involve%2:42:01::
d000.s028.t007 patient%1:18:00::
d000.s028.t008 not%4:02:00::
d000.s028.t009 receive%2:40:00::
d000.s028.t010 chemotherapy%1:04:00::
d000.s028.t011 lung_cancer%1:26:00::
d000.s028.t012 past%1:28:00::
d000.s029.t000 survey%1:04:02::
d000.s029.t001 main%1:17:00::
d000.s029.t002 measure%1:04:01::
d000.s029.t003 effectiveness%1:07:00::
d000.s029.t004 hanker%2:37:00::
d000.s029.t005 patient%1:18:00::
d000.s029.t006 survive%2:42:01::
d000.s030.t000 benefit%1:21:00::
d000.s030.t001 show%1:04:00::
d000.s030.t002 survey%1:04:02::
d000.s031.t000 addition%1:23:00::
d000.s031.t001 survival%1:26:00::
d000.s031.t002 time%1:11:00::
d000.s031.t003 patient%1:18:00::
d000.s031.t004 malignant%3:00:02::
d000.s031.t005 pleural%3:01:00::
d000.s031.t006 mesothelioma%1:26:00::
d000.s032.t000 patient%1:18:00::
d000.s032.t001 receive%2:40:00::
d000.s032.t002 survive%2:42:01::
d000.s032.t003 average%1:09:00::
d000.s032.t004 calendar_month%1:28:00::
d000.s032.t005 comparison%1:07:00::
d000.s032.t006 calendar_month%1:28:00::
d000.s032.t007 alone%5:00:00:unsocial:00
d000.s033.t000 treatment%1:04:00::
d000.s033.t001 patient%1:18:00::
d000.s033.t002 cell%1:06:03::
d000.s033.t003 lung_cancer%1:26:00::
d000.s033.t004 arsenic%1:27:00::
d000.s033.t005 effective%3:00:00::
d000.s033.t006 arsenic%1:27:00::
d000.s034.t000 patient%1:18:00::
d000.s034.t001 receive%2:40:00::
d000.s034.t002 chemotherapy%1:04:00::
d000.s034.t003 past%1:28:00::
d000.s034.t004 average%1:09:00::
d000.s034.t005 survival%1:26:00::
d000.s034.t006 time%1:11:00::
d000.s034.t007 calendar_month%1:28:00::
d000.s034.t008 comparison%1:07:00::
d000.s034.t009 calendar_month%1:28:00::
d000.s035.t000 patient%1:18:00::
d000.s035.t001 not%4:02:00::
d000.s035.t002 receive%2:40:00::
d000.s035.t003 chemotherapy%1:04:00::
d000.s035.t004 past%1:28:00::
d000.s035.t005 average%1:09:00::
d000.s035.t006 survival%1:26:00::
d000.s035.t007 time%1:11:00::
d000.s035.t008 calendar_month%1:28:00::
d000.s035.t009 group%1:03:00::
d000.s036.t000 however%4:02:00::
d000.s036.t001 survey%1:04:02::
d000.s036.t002 patient%1:18:00::
d000.s036.t003 cancer%1:26:00::
d000.s036.t004 not%4:02:00::
d000.s036.t005 affect%1:12:00::
d000.s036.t006 squamous_cell%1:08:00::
d000.s036.t007 rich_person%1:18:00::
d000.s036.t008 hanker%2:37:00::
d000.s036.t009 survival%1:26:00::
d000.s036.t010 time%1:11:00::
d000.s037.t000 contrast%1:24:00::
d000.s037.t001 patient%1:18:00::
d000.s037.t002 cancer%1:26:00::
d000.s037.t003 affect%1:12:00::
d000.s037.t004 squamous_cell%1:08:00::
d000.s037.t005 rich_person%1:18:00::
d000.s037.t006 short%1:06:00::
d000.s037.t007 survival%1:26:00::
d000.s037.t008 time%1:11:00::
d001.s000.t000 mathematical%3:01:00::
d001.s000.t001 base%1:06:04::
d001.s000.t002 markup%1:21:00::
d001.s001.t000 present%1:28:00::
d001.s001.t001 capable%3:00:00::
d001.s001.t002 brand%1:09:00::
d001.s001.t003 simple%1:20:00::
d001.s001.t004 operation%1:26:00::
d001.s001.t005 arithmetic%1:09:00::
d001.s001.t006 three-d%1:10:00::
d001.s001.t007 graph%1:10:00::
d001.s002.t000 actually%4:02:01::
d001.s002.t001 not%4:02:00::
d001.s002.t002 necessity%1:17:00::
d001.s002.t003 know%1:09:00::
d001.s002.t004 use%1:04:00::
d001.s003.t000 base%1:06:04::
d001.s003.t001 graph%1:10:00::
d001.s004.t000 initially%4:02:00::
d001.s004.t001 east%1:15:00::
d001.s004.t002 now%1:28:00::
d001.s004.t003 use%1:04:00::
d001.s004.t004 little%1:23:00::
d001.s004.t005 mathematical%3:01:00::
d001.s004.t006 cognition%1:03:00::
d001.s005.t000 here%1:15:00::
d001.s005.t001 main%1:17:00::
d001.s005.t002 window%1:06:00::
d001.s006.t000 main%1:17:00::
d001.s006.t001 window%1:06:00::
d001.s007.t000 main%1:17:00::
d001.s007.t001 window%1:06:00::
d001.s007.t002 dwell%2:42:01::
d001.s007.t003 console_table%1:06:00::
d001.s007.t004 graph%1:10:00::
d001.s007.t005 three-d%1:10:00::
d001.s007.t006 graph%1:10:00::
d001.s007.t007 dictionary%1:10:00::
d001.s008.t000 below%4:02:01::
d001.s008.t001 discovery%1:09:00::
d001.s008.t002 input_signal%1:10:00::
d001.s008.t003 field%1:15:00::
d001.s008.t004 type%1:09:00::
d001.s008.t005 function%1:24:00::
d001.s008.t006 bash%1:11:01::
d001.s008.t007 calculation%1:04:00::
d001.s009.t000 privation%1:26:00::
d001.s009.t001 understand%2:31:00::
d001.s009.t002 work%1:04:00::
d001.s009.t003 best%1:04:00::
d001.s009.t004 thing%1:26:00::
d001.s009.t005 bash%1:11:01::
d001.s009.t006 recognize%2:31:01::
d001.s009.t007 input_signal%1:10:00::
d001.s009.t008 convert%1:18:00::
d001.s009.t009 not%4:02:00::
d001.s009.t010 necessity%1:17:00::
d001.s009.t011 know%1:09:00::
d001.s010.t000 base%1:06:04::
d001.s010.t001 basically%4:02:00::
d001.s010.t002 common_sense%1:09:00::
d001.s010.t003 not%4:02:00::
d001.s010.t004 difficult%3:00:00::
d001.s011.t000 expression%1:07:00::
d001.s011.t001 closely%4:02:00::
d001.s011.t002 expression%1:07:00::
d001.s011.t003 very%5:00:00:precise:00
d001.s011.t004 similar%3:00:00::
d001.s012.t000 addition%1:06:00::
d001.s012.t001 subtraction%1:04:01::
d001.s012.t002 generation%1:04:00::
d001.s012.t003 division%1:14:00::
d001.s013.t000 power%1:07:00::
d001.s013.t001 use%1:04:00::
d001.s014.t000 besides%4:02:03::
d001.s014.t001 possible%1:09:00::
d001.s014.t002 use%1:04:00::
d001.s015.t000 power%1:07:00::
d001.s015.t001 manner%1:07:02::
d001.s015.t002 brand%1:09:00::
d001.s015.t003 root%1:20:00::
d001.s015.t004 excessively%4:02:00::
d001.s016.t000 manner%1:07:02::
d001.s016.t001 stipulate%2:32:00::
d001.s016.t002 jump%2:38:00::
d001.s016.t003 variable%1:17:00::
d001.s016.t004 function%1:24:00::
d001.s017.t000 use%1:04:00::
d001.s017.t001 stipulate%2:32:00::
d001.s017.t002 high%1:07:00::
d001.s017.t003 precedence%1:26:00::
d001.s018.t000 parser%1:10:00::
d001.s018.t001 discovery%1:09:00::
d001.s018.t002 function%1:24:00::
d001.s018.t003 check%1:21:00::
d001.s018.t004 operator%1:24:00::
d001.s019.t000 dainty%1:13:00::
d001.s019.t001 operator%1:24:00::
d001.s019.t002 not%4:02:00::
d001.s019.t003 dainty%1:13:00::
d001.s019.t004 user%1:18:00::
d001.s019.t005 function%1:24:00::
d001.s020.t000 use%1:04:00::
d001.s020.t001 specify%2:42:00::
d001.s020.t002 value%1:09:00::
d001.s021.t000 condition%1:26:00::
d001.s021.t001 definition%1:10:00::
d001.s022.t000 manner%1:07:02::
d001.s022.t001 specify%2:42:00::
d001.s022.t002 conditional%5:00:00:qualified:02
d001.s022.t003 operation%1:26:00::
d001.s023.t000 introduce%2:32:00::
d001.s023.t001 condition%1:26:00::
d001.s023.t002 use%1:04:00::
d001.s023.t003 condition%1:26:00::
d001.s023.t004 only%4:02:03::
d001.s023.t005 true%1:07:00::
d001.s023.t006 discovery%1:09:00::
d001.s023.t007 condition%1:26:00::
d001.s023.t008 enter%2:38:00::
d001.s023.t009 stopping_point%1:28:00::
d001.s023.t010 case%1:11:00::
d001.s025.t000 use%1:04:00::
d001.s025.t001 specify%2:42:00::
d001.s026.t000 chiefly%4:02:00::
d001.s026.t001 useful%3:00:00::
d001.s026.t002 work%1:04:00::
d001.s027.t000 now%1:28:00::
d001.s027.t001 ask%2:32:00::
d001.s027.t002 user%1:18:00::
d001.s028.t000 easy%3:00:01::
d001.s028.t001 operate%2:41:00::
d001.s028.t002 function%1:24:00::
d001.s028.t003 cosine%1:24:00::
d001.s028.t004 sin%1:07:00::
d001.s028.t005 other%3:00:00::
d001.s028.t006 trigonometric%3:01:00::
d001.s028.t007 function%1:24:00::
d001.s028.t008 sum%1:21:00::
d001.s028.t009 merchandise%1:06:00::
d001.s029.t000 not%4:02:00::
d001.s029.t001 matter%1:09:01::
d001.s029.t002 kind%1:09:00::
d001.s030.t000 use%1:04:00::
d001.s030.t001 asset%1:07:00::
d001.s030.t002 times%1:28:01::
d001.s030.t003 rich_person%1:18:00::
d001.s030.t004 operator%1:24:00::
d001.s031.t000 useful%3:00:00::
d001.s032.t000 there%1:15:00::
d001.s032.t001 rich_person%1:18:00::
d001.s032.t002 list%1:10:00::
d001.s032.t003 variable%1:17:00::
d001.s033.t000 see%1:15:00::
d001.s033.t001 lashkar-e-taiba%1:14:00::
d001.s033.t002 change%1:11:00::
d001.s033.t003 value%1:09:00::
d001.s033.t004 just%3:00:00::
d001.s033.t005 manner%1:07:02::
d001.s033.t006 trick%1:04:05::
d001.s033.t007 log%1:27:01::
d001.s034.t000 time%1:11:00::
d001.s034.t001 enter%2:38:00::
d001.s034.t002 expression%1:07:00::
d001.s034.t003 variable%1:17:00::
d001.s034.t004 value%1:09:00::
d001.s034.t005 change%1:11:00::
d001.s034.t006 stopping_point%1:28:00::
d001.s034.t007 consequence%1:19:00::
d001.s035.t000 new%3:00:00::
d001.s035.t001 window%1:06:00::
d001.s036.t000 log%1:27:01::
d001.s037.t000 load%1:06:00::
d001.s038.t000 execute%2:41:00::
d001.s038.t001 direction%1:10:02::
d001.s038.t002 file%1:10:00::
d001.s038.t003 consecutive%4:02:00::
d001.s039.t000 nice%1:15:00::
d001.s039.t001 privation%1:26:00::
d001.s039.t002 specify%2:42:00::
d001.s039.t003 library%1:06:01::
d001.s039.t004 sketch%1:10:00::
d001.s039.t005 previous%5:00:00:preceding:00
d001.s039.t006 work%1:04:00::
d001.s040.t000 save%1:04:00::
d001.s041.t000 save%1:04:00::
d001.s041.t001 direction%1:10:02::
d001.s041.t002 type%1:09:00::
d001.s041.t003 begin%1:18:00::
d001.s041.t004 able%3:00:00::
d001.s041.t005 recycle%2:34:00::
d001.s042.t000 generate%2:36:00::
d001.s042.t001 text_file%1:10:00::
d001.s042.t002 easy%3:00:01::
d001.s042.t003 fix%1:26:00::
d001.s042.t004 use%1:04:00::
d001.s042.t005 copy_editor%1:18:00::
d001.s043.t000 save%1:04:00::
d001.s043.t001 log%1:27:01::
d001.s044.t000 save%1:04:00::
d001.s044.t001 log%1:27:01::
d001.s044.t002 consequence%1:19:00::
d001.s044.t003 hypertext_markup_language%1:10:00::
d001.s044.t004 able%3:00:00::
d001.s044.t005 print%1:10:00::
d001.s044.t006 print%2:36:02::
d001.s045.t000 discontinue%2:42:00::
d001.s046.t000 plan%1:09:00::
d001.s046.t001 down%1:05:00::
d001.s047.t000 attention_deficit_disorder%1:26:00::
d001.s047.t001 new%3:00:00::
d001.s047.t002 graph%1:10:00::
d001.s047.t003 bash%1:11:01::
d001.s047.t004 go%1:28:00::
d001.s047.t005 graph%1:10:00::
d001.s047.t006 attention_deficit_disorder%1:26:00::
d001.s047.t007 attention_deficit_disorder%1:26:00::
d001.s047.t008 new%3:00:00::
d001.s047.t009 function%1:24:00::
d001.s048.t000 then%1:28:00::
d001.s048.t001 focus%1:09:00::
d001.s048.t002 input_signal%1:10:00::
d001.s048.t003 text%1:10:00::
d001.s048.t004 box%1:06:00::
d001.s048.t005 type%1:09:00::
d001.s048.t006 function%1:24:00::
d001.s049.t000 privation%1:26:00::
d001.s049.t001 use%1:04:00::
d001.s049.t002 typical%3:00:00::
d001.s049.t003 not%4:02:00::
d001.s049.t004 necessity%1:17:00::
d001.s049.t005 stipulate%2:32:00::
d001.s050.t000 enter%2:38:00::
d001.s050.t001 function%1:24:00::
d001.s050.t002 oklahoma%1:15:00::
d001.s050.t003 display%1:10:01::
d001.s050.t004 graph%1:10:00::
d001.s050.t005 main%1:17:00::
d001.s050.t006 window%1:06:00::
d001.s051.t000 set%1:14:00::
d001.s051.t001 several%5:00:00:some:00
d001.s051.t002 graph%1:10:00::
d001.s051.t003 lapp%1:18:00::
d001.s051.t004 position%1:09:00::
d001.s052.t000 just%3:00:00::
d001.s052.t001 use%1:04:00::
d001.s052.t002 attention_deficit_disorder%1:26:00::
d001.s052.t003 list%1:10:00::
d001.s052.t004 manner%1:07:02::
d001.s053.t000 set%1:14:00::
d001.s053.t001 graph%1:10:00::
d001.s053.t002 color%1:07:00::
d002.s000.t000 foundation%1:24:00::
d002.s000.t001 recently%4:02:00::
d002.s000.t002 involve%2:42:01::
d002.s000.t003 organize%2:30:00::
d002.s000.t004 conference%1:14:00::
d002.s000.t005 deal%1:04:02::
d002.s000.t006 critical%3:00:01::
d002.s000.t007 challenge%1:26:00::
d002.s001.t000 participant%1:18:00::
d002.s001.t001 main%1:17:00::
d002.s001.t002 interest%1:14:00::
d002.s001.t003 attend%2:42:00::
d002.s001.t004 argument%1:10:00::
d002.s001.t005 issue%1:09:01::
d002.s001.t006 function%1:04:00::
d002.s001.t007 key%1:06:00::
d002.s001.t008 actor%1:18:00::
d002.s001.t009 include%2:42:00::
d002.s001.t010 populace%1:14:00::
d002.s001.t011 authority%1:07:00::
d002.s001.t012 sociable%1:14:00::
d002.s001.t013 volunteer%1:18:01::
d002.s001.t014 community%1:14:00::
d002.s001.t015 administration%1:14:00::
d002.s001.t016 besides%4:02:03::
d002.s001.t017 service%1:04:08::
d002.s001.t018 user%1:18:00::
d002.s002.t000 relatively%4:02:00::
d002.s002.t001 few%1:14:00::
d002.s002.t002 case%1:11:00::
d002.s002.t003 report%1:10:03::
d002.s002.t004 attempt%1:04:00::
d002.s002.t005 involve%2:42:01::
d002.s002.t006 user%1:18:00::
d002.s002.t007 service%1:04:08::
d002.s002.t008 planning%1:04:00::
d002.s002.t009 engagement%1:04:00::
d002.s002.t010 service%1:04:08::
d002.s002.t011 provision%1:10:00::
d002.s002.t012 discovery%1:09:00::
d002.s002.t013 more%1:18:00::
d002.s002.t014 park%1:15:01::
d002.s003.t000 note%1:10:00::
d002.s003.t001 besides%4:02:03::
d002.s003.t002 assortment%1:14:00::
d002.s003.t003 different%3:00:00::
d002.s003.t004 function%1:04:00::
d002.s003.t005 play%1:10:01::
d002.s003.t006 populace%1:14:00::
d002.s003.t007 social_welfare%1:04:00::
d002.s004.t000 foundation%1:24:00::
d002.s004.t001 european%1:18:00::
d002.s004.t002 committee%1:14:00::
d002.s004.t003 spanish%1:10:00::
d002.s004.t004 ministry%1:14:01::
d002.s004.t005 sociable%1:14:00::
d002.s004.t006 personal_business%1:09:00::
d002.s004.t007 regional%3:01:00::
d002.s004.t008 government%1:14:00::
d002.s004.t009 european%1:18:00::
d002.s004.t010 conference%1:14:00::
d002.s004.t011 sociable%1:14:00::
d002.s004.t012 exclusion%1:26:00::
d002.s004.t013 major%1:18:00::
d002.s004.t014 challenge%1:26:00::
d002.s004.t015 populace%1:14:00::
d002.s004.t016 social_welfare%1:04:00::
d002.s004.t017 service%1:04:08::
d002.s005.t000 foundation%1:24:00::
d002.s005.t001 recently%4:02:00::
d002.s005.t002 print%2:36:02::
d002.s005.t003 comparative%1:10:00::
d002.s005.t004 survey%1:04:02::
d002.s005.t005 part%1:24:00::
d002.s005.t006 undertaking%1:04:00::
d002.s005.t007 buttocks%1:08:00::
d002.s005.t008 extent%1:26:00::
d002.s005.t009 direct%2:32:00::
d002.s005.t010 engagement%1:04:00::
d002.s005.t011 humanize%2:37:00::
d002.s005.t012 work%1:04:00::
d002.s005.t013 addition%1:23:00::
d002.s005.t014 profitableness%1:07:00::
d002.s006.t000 survey%1:04:02::
d002.s006.t001 base%1:06:04::
d002.s006.t002 personal%1:10:00::
d002.s006.t003 interview%1:10:01::
d002.s006.t004 senior%1:18:00::
d002.s006.t005 official%1:18:01::
d002.s006.t006 sociable%1:14:00::
d002.s006.t007 representative%1:18:00::
d002.s006.t008 national%1:18:00::
d002.s006.t009 degree%1:07:00::
d002.s006.t010 administration%1:14:00::
d002.s006.t011 fifteen%1:23:00::
d002.s006.t012 european%1:18:00::
d002.s006.t013 state%1:14:00::
d002.s007.t000 important%3:00:00::
d002.s007.t001 industrial%3:01:00::
d002.s007.t002 sector%1:25:00::
d002.s007.t003 metallic_element%1:27:00::
d002.s007.t004 industry%1:14:00::
d002.s007.t005 banking%1:04:01::
d002.s007.t006 sector%1:25:00::
d002.s007.t007 besides%4:02:03::
d002.s007.t008 include%2:42:00::
d002.s008.t000 speaker%1:18:00::
d002.s008.t001 sociable%1:14:00::
d002.s008.t002 exclusion%1:26:00::
d002.s008.t003 conference%1:14:00::
d002.s008.t004 left%1:15:00::
d002.s008.t005 right%1:07:00::
d002.s008.t006 employment%1:26:00::
d002.s008.t007 industrial%3:01:00::
d002.s008.t008 relations%1:24:00::
d002.s008.t009 social_gathering%1:14:00::
d002.s008.t010 directorate%1:14:00::
d002.s008.t011 european%1:18:00::
d002.s008.t012 committee%1:14:00::
d002.s008.t013 high%1:07:00::
d002.s008.t014 committee%1:14:00::
d002.s008.t015 member%1:18:00::
d002.s008.t016 european%1:18:00::
d002.s008.t017 parliament%1:14:00::
d002.s008.t018 vice_president%1:18:00::
d002.s008.t019 european%1:18:00::
d002.s008.t020 parliament%1:14:00::
d002.s008.t021 economic%3:01:01::
d002.s008.t022 sociable%1:14:00::
d002.s008.t023 committee%1:14:00::
d002.s009.t000 case_study%1:10:00::
d002.s009.t001 national%1:18:00::
d002.s009.t002 report%1:10:03::
d002.s009.t003 incorporate%2:42:00::
d002.s009.t004 portfolio%1:06:00::
